,State Name,county Name,County Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,Year,Month,Day,Month_Day,Five-Year Avg.
0,Alabama,Baldwin,3,2020-01-01,48,Good,PM2.5,1,2020,1,1,01-01,36.23931623931624
1,Alabama,Baldwin,3,2020-01-04,13,Good,PM2.5,1,2020,1,4,01-04,34.16379310344828
2,Alabama,Baldwin,3,2020-01-07,14,Good,PM2.5,1,2020,1,7,01-07,40.389830508474574
3,Alabama,Baldwin,3,2020-01-10,39,Good,PM2.5,1,2020,1,10,01-10,35.12280701754386
4,Alabama,Baldwin,3,2020-01-13,29,Good,PM2.5,1,2020,1,13,01-13,34.266666666666666
5,Alabama,Baldwin,3,2020-01-16,15,Good,PM2.5,1,2020,1,16,01-16,39.64705882352941
6,Alabama,Baldwin,3,2020-01-19,10,Good,PM2.5,1,2020,1,19,01-19,35.87603305785124
7,Alabama,Baldwin,3,2020-01-22,38,Good,PM2.5,1,2020,1,22,01-22,37.0672268907563
8,Alabama,Baldwin,3,2020-01-25,17,Good,PM2.5,1,2020,1,25,01-25,35.8
9,Alabama,Baldwin,3,2020-01-28,20,Good,PM2.5,1,2020,1,28,01-28,35.76271186440678
10,Alabama,Baldwin,3,2020-01-31,30,Good,PM2.5,1,2020,1,31,01-31,37.530434782608694
11,Alabama,Clay,27,2020-01-04,12,Good,PM2.5,1,2020,1,4,01-04,30.45945945945946
12,Alabama,Clay,27,2020-01-07,16,Good,PM2.5,1,2020,1,7,01-07,34.82432432432432
13,Alabama,Clay,27,2020-01-10,31,Good,PM2.5,1,2020,1,10,01-10,31.756756756756758
14,Alabama,Clay,27,2020-01-16,13,Good,PM2.5,1,2020,1,16,01-16,34.08108108108108
15,Alabama,Clay,27,2020-01-28,15,Good,PM2.5,1,2020,1,28,01-28,33.027027027027025
16,Alabama,DeKalb,49,2020-01-01,38,Good,Ozone,2,2020,1,1,01-01,42.65217391304348
17,Alabama,DeKalb,49,2020-01-02,28,Good,Ozone,1,2020,1,2,01-02,45.355555555555554
18,Alabama,DeKalb,49,2020-01-03,35,Good,Ozone,1,2020,1,3,01-03,44.744680851063826
19,Alabama,DeKalb,49,2020-01-04,31,Good,Ozone,2,2020,1,4,01-04,43.40425531914894
20,Alabama,DeKalb,49,2020-01-05,32,Good,Ozone,1,2020,1,5,01-05,48.78260869565217
21,Alabama,DeKalb,49,2020-01-06,35,Good,Ozone,1,2020,1,6,01-06,46.91489361702128
22,Alabama,DeKalb,49,2020-01-07,37,Good,Ozone,2,2020,1,7,01-07,43.340425531914896
23,Alabama,DeKalb,49,2020-01-08,41,Good,Ozone,1,2020,1,8,01-08,40.91304347826087
24,Alabama,DeKalb,49,2020-01-09,41,Good,Ozone,1,2020,1,9,01-09,41.15217391304348
25,Alabama,DeKalb,49,2020-01-10,31,Good,Ozone,1,2020,1,10,01-10,39.08510638297872
26,Alabama,DeKalb,49,2020-01-12,31,Good,Ozone,1,2020,1,12,01-12,43.32608695652174
27,Alabama,DeKalb,49,2020-01-13,26,Good,Ozone,1,2020,1,13,01-13,43.53191489361702
28,Alabama,DeKalb,49,2020-01-14,25,Good,Ozone,1,2020,1,14,01-14,48.82222222222222
29,Alabama,DeKalb,49,2020-01-15,25,Good,Ozone,1,2020,1,15,01-15,53.48936170212766
30,Alabama,DeKalb,49,2020-01-16,32,Good,Ozone,2,2020,1,16,01-16,48.45652173913044
31,Alabama,DeKalb,49,2020-01-17,31,Good,Ozone,1,2020,1,17,01-17,47.0
32,Alabama,DeKalb,49,2020-01-18,31,Good,Ozone,1,2020,1,18,01-18,40.69565217391305
33,Alabama,DeKalb,49,2020-01-19,34,Good,Ozone,1,2020,1,19,01-19,38.91489361702128
34,Alabama,DeKalb,49,2020-01-20,28,Good,Ozone,1,2020,1,20,01-20,40.51111111111111
35,Alabama,DeKalb,49,2020-01-21,32,Good,Ozone,1,2020,1,21,01-21,42.06382978723404
36,Alabama,DeKalb,49,2020-01-22,30,Good,Ozone,1,2020,1,22,01-22,41.744680851063826
